[20253.728042] 1336:22f
[20253.728047] 1787:22f
[20253.728052] 1275:18f
[20253.728056] 3903:22f
[20253.728061] 971:22f
[20253.728065] 1869:22f
[20253.728070] 1277:22f
[20253.728075] 961:22f
[20253.728080] 1019:22f
[20253.728084] 1169:22f
[20253.728089] 1836:22f
[20253.728094] 1546:22f
[20253.728098] 1791:22f
[20253.728103] 1159:22f
[20253.728108] 1197:22f
[20253.728112] 1297:18f
[20253.728117] 3905:22f
[20253.728122] 963:22f
[20253.728126] 1315:22f
[20253.728131] 1509:22f
[20253.728136] 2067:22f
[20253.728140] 977:22f
[20253.728145] 1605:22f
[20253.728150] 2148:22f
[20253.728154] 1937:22f
[20253.728159] 2149:22f
[20253.728164] 1420:18f
[20253.728169] 3909:22f
[20253.728173] 970:22f
[20253.728178] 1448:22f
[20253.728183] 994:22f
[20253.728187] 1610:22f
[20253.728192] 1280:22f
[20253.728197] 1893:22f
[20253.728201] 1210:22f
[20253.728206] 1571:22f
[20253.728211] 1551:22f
[20253.728215] 2118:22f
[20253.728220] 1279:22f
[20253.728225] 161:18f
[20253.728229] 4214:22f
[20253.728234] 967:22f
[20253.728239] 1618:22f
[20253.728244] 2184:22f
[20253.728248] 1989:22f
[20253.728253] 1729:22f
[20253.728258] 1730:22f
[20253.728262] 1330:22f
[20253.728267] 1207:22f
[20253.728272] 1074:22f
[20253.728276] 1953:18f
[20253.728281] 3896:22f
[20253.728286] 997:22f
[20253.728290] 985:22f
[20253.728295] 1169:22f
[20253.728300] 1644:22f
[20253.728304] 1011:22f
[20253.728309] 2130:22f
[20253.728314] 2119:22f
[20253.728319] 2107:22f
[20253.728323] 1829:22f
[20253.728328] 1461:22f
[20253.728333] 647:18f
[20253.728337] 3896:22f
[20253.728342] 968:22f
[20253.728347] 2149:22f
[20253.728351] 971:22f
[20253.728356] 1163:22f
[20253.728361] 1488:22f
[20253.728365] 1194:22f
[20253.728370] 1612:22f
[20253.728375] 1425:22f
[20253.728379] 1223:22f
[20253.728384] 1378:22f
[20253.728389] 1332:22f
[20253.728394] 1196:18f
[20253.728398] 3899:22f
[20253.728403] 975:22f
[20253.728408] 1624:22f
