[21103.503212] 770:22f
[21103.503216] 218:17f
[21103.503221] 834:22f
[21103.503226] 128:17f
[21103.503230] 943:22f
[21103.503235] 78:17f
[21103.503240] 948:17f
[21103.503244] 47:22f
[21103.503249] 963:17f
[21103.503254] 227:22f
[21103.503258] 858:17f
[21103.503263] 285:22f
[21103.503268] 689:17f
[21103.503273] 382:22f
[21103.503277] 653:17f
[21103.503282] 497:22f
[21103.503287] 547:17f
[21103.503291] 424:22f
[21103.503296] 538:17f
[21103.503301] 659:22f
[21103.503305] 416:17f
[21103.503310] 637:22f
[21103.503315] 335:17f
[21103.503320] 841:22f
[21103.503324] 169:17f
[21103.503329] 873:22f
[21103.503334] 91:17f
[21103.503338] 876:22f
[21103.503343] 140:17f
[21103.503348] 938:22f
[21103.503353] 23:17f
[21103.503357] 961:27f
[21103.503362] 927:17f
[21103.503367] 40:22f
[21103.503371] 970:17f
[21103.503376] 131:22f
[21103.503381] 848:17f
[21103.503385] 128:22f
[21103.503390] 846:17f
[21103.503395] 315:22f
[21103.503399] 721:17f
[21103.503404] 264:22f
[21103.503409] 824:17f
[21103.503414] 320:22f
[21103.503418] 693:17f
[21103.503423] 363:22f
[21103.503428] 680:17f
[21103.503432] 1047:17f
[21103.503437] 270:22f
[21103.503442] 796:17f
[21103.503447] 175:22f
[21103.503451] 796:17f
[21103.503456] 1071:17f
[21103.503461] 261:22f
[21103.503465] 776:17f
[21103.503470] 954:22f
[21103.503475] 19:17f
[21103.503479] 980:17f
[21103.503484] 943:27f
[21103.503489] 967:27f
[21103.503493] 928:17f
[21103.503498] 100:22f
[21103.503503] 928:17f
[21103.503507] 960:22f
[21103.503512] 11:17f
[21103.503517] 1000:17f
[21103.503522] 41:22f
[21103.503526] 985:17f
[21103.503531] 494:22f
[21103.503536] 507:17f
[21103.503540] 975:27f
[21103.503545] 976:17f
[21103.503550] 622:22f
[21103.503555] 350:17f
[21103.503559] 958:27f
[21103.503564] 969:17f
[21103.503569] 774:22f
[21103.503573] 210:17f
[21103.503578] 760:22f
[21103.503583] 282:17f
[21103.503587] 1002:27f
[21103.503592] 942:17f
[21103.503597] 66:22f
[21103.503602] 991:27f
[21103.503606] 949:17f
[21103.503611] 196:22f
[21103.503616] 827:17f
[21103.503620] 1043:22f
[21103.503625] 211:17f
[21103.503630] 864:27f
[21103.503634] 955:17f
[21103.503639] 647:22f
[21103.503644] 463:17f
[21103.503649] 874:27f
[21103.503653] 1005:17f
[21103.503658] 699:22f
[21103.503663] 349:17f
[21103.503667] 957:17f
[21103.503672] 286:22f
[21103.503677] 754:17f
[21103.503682] 478:22f
[21103.503686] 515:17f
[21103.503691] 950:27f
[21103.503696] 615:18f
[21103.503700] 1359:22f
[21103.503705] 259:27f
[21103.503710] 117:17f
[21103.503715] 856:27f
[21103.503719] 955:27f
[21103.503724] 979:27f
[21103.503729] 959:27f
[21103.503733] 970:27f
[21103.503738] 962:27f
[21103.503743] 969:27f
[21103.503748] 1135:27f
[21103.503752] 1030:17f
[21103.503757] 74:22f
[21103.503762] 936:27f
[21103.503766] 1131:27f
[21103.503771] 919:22f
[21103.503776] 11:17f
[21103.503781] 1020:22f
[21103.503785] 738:17f
[21103.503790] 393:22f
[21103.503795] 989:27f
[21103.503799] 1057:27f
[21103.503804] 947:27f
[21103.503809] 15:22f
[21103.503813] 946:27f
[21103.503818] 973:27f
[21103.503823] 954:22f
[21103.503828] 6:27f
[21103.503832] 1096:22f
[21103.503837] 219:17f
[21103.503842] 852:22f
[21103.503847] 495:17f
[21103.503851] 465:22f
[21103.503856] 979:27f
[21103.503861] 958:27f
[21103.503865] 953:22f
[21103.503870] 204:17f
[21103.503875] 1039:22f
[21103.503880] 674:17f
[21103.503884] 285:22f
[21103.503889] 973:22f
[21103.503894] 587:17f
[21103.503898] 466:22f
[21103.503903] 961:27f
[21103.503908] 952:17f
[21103.503912] 110:22f
[21103.503917] 972:17f
[21103.503922] 153:22f
